DATO:,GEBYRER:,TERMINBELOP:,RENTER:,AVDRAG:,RESTBELOP:
Mon Dec 01 2025 01:00:00 GMT+0100 (GMT+01:00),30,76368.37190993557,47602.73972602752,28735.632183908045,7959770.11494255
Thu Jan 01 2026 01:00:00 GMT+0100 (GMT+01:00),30,77778.18926153374,49012.55707762569,28735.632183908045,7931034.482758641
Sun Feb 01 2026 01:00:00 GMT+0100 (GMT+01:00),30,77601.24862226433,48835.61643835629,28735.632183908045,7902298.850574733
Sun Mar 01 2026 01:00:00 GMT+0100 (GMT+01:00),30,72715.40387340587,43949.77168949783,28735.632183908045,7873563.218390824
Wed Apr 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,77247.36734372552,48481.73515981748,28735.632183908045,7844827.586206916
Fri May 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,75512.20752637391,46746.57534246587,28735.632183908045,7816091.954023007
Mon Jun 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,76893.48606518669,48127.85388127865,28735.632183908045,7787356.321839099
Wed Jul 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,75169.74177294924,46404.1095890412,28735.632183908045,7758620.68965519
Sat Aug 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,76539.60478664788,47773.972602739836,28735.632183908045,7729885.057471282
Tue Sep 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,76362.66414737847,47597.03196347043,28735.632183908045,7701149.425287373
Thu Oct 01 2026 02:00:00 GMT+0200 (GMT+02:00),30,74656.04314281225,45890.410958904205,28735.632183908045,7672413.793103465
Sun Nov 01 2026 01:00:00 GMT+0100 (GMT+01:00),30,76008.78286883965,47243.15068493161,28735.632183908045,7643678.160919556
Tue Dec 01 2026 01:00:00 GMT+0100 (GMT+01:00),30,74313.57738938759,45547.94520547955,28735.632183908045,7614942.528735648
Fri Jan 01 2027 01:00:00 GMT+0100 (GMT+01:00),30,75654.90159030083,46889.269406392785,28735.632183908045,7586206.896551739
Mon Feb 01 2027 01:00:00 GMT+0100 (GMT+01:00),30,75477.96095103142,46712.32876712338,28735.632183908045,7557471.264367831
Mon Mar 01 2027 01:00:00 GMT+0100 (GMT+01:00),30,70797.59565422776,42031.96347031971,28735.632183908045,7528735.632183922
Thu Apr 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,75124.0796724926,46358.447488584556,28735.632183908045,7500000.000000014
Sat May 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,73457.41300582593,44691.780821917884,28735.632183908045,7471264.3678161055
Tue Jun 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,74770.19839395379,46004.56621004574,28735.632183908045,7442528.735632197
Thu Jul 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,73114.94725240128,44349.31506849323,28735.632183908045,7413793.1034482885
Sun Aug 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,74416.31711541497,45650.68493150693,28735.632183908045,7385057.47126438
Wed Sep 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,74239.37647614557,45473.74429223752,28735.632183908045,7356321.839080472
Fri Oct 01 2027 02:00:00 GMT+0200 (GMT+02:00),30,72601.24862226428,43835.616438356235,28735.632183908045,7327586.206896563
Mon Nov 01 2027 01:00:00 GMT+0100 (GMT+01:00),30,73885.49519760675,45119.863013698705,28735.632183908045,7298850.574712655
Wed Dec 01 2027 01:00:00 GMT+0100 (GMT+01:00),30,72258.78286883961,43493.15068493157,28735.632183908045,7270114.942528746
Sat Jan 01 2028 01:00:00 GMT+0100 (GMT+01:00),30,73531.61391906792,44765.98173515988,28735.632183908045,7241379.310344838
Tue Feb 01 2028 01:00:00 GMT+0100 (GMT+01:00),30,73232.8452986622,44467.21311475416,28735.632183908045,7212643.678160929
Wed Mar 01 2028 01:00:00 GMT+0100 (GMT+01:00),30,70198.9199799008,41433.287795992765,28735.632183908045,7183908.045977021
Sat Apr 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,72879.93090886256,44114.29872495451,28735.632183908045,7155172.413793112
Mon May 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,71286.12398718677,42520.49180327873,28735.632183908045,7126436.781609204
Thu Jun 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,72527.01651906292,43761.38433515487,28735.632183908045,7097701.149425295
Sat Jul 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,70944.59393254196,42178.96174863392,28735.632183908045,7068965.517241387
Tue Aug 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,72174.10212926328,43408.46994535524,28735.632183908045,7040229.885057478
Fri Sep 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,71997.64493436346,43232.01275045541,28735.632183908045,7011494.25287357
Sun Oct 01 2028 02:00:00 GMT+0200 (GMT+02:00),30,70432.29885057475,41666.6666666667,28735.632183908045,6982758.620689661
Wed Nov 01 2028 01:00:00 GMT+0100 (GMT+01:00),30,71644.73054456382,42879.09836065577,28735.632183908045,6954022.988505753
Fri Dec 01 2028 01:00:00 GMT+0100 (GMT+01:00),30,70090.76879592994,41325.13661202189,28735.632183908045,6925287.356321844
Mon Jan 01 2029 01:00:00 GMT+0100 (GMT+01:00),30,71291.81615476418,42526.18397085613,28735.632183908045,6896551.724137936
Thu Feb 01 2029 01:00:00 GMT+0100 (GMT+01:00),30,71231.3856085656,42465.75342465756,28735.632183908045,6867816.091954027
Thu Mar 01 2029 01:00:00 GMT+0100 (GMT+01:00),30,66961.97921587153,38196.34703196349,28735.632183908045,6839080.459770119
Sun Apr 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,70877.50433002679,42111.872146118745,28735.632183908045,6810344.82758621
Tue May 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,69347.82396472998,40582.19178082194,28735.632183908045,6781609.195402302
Fri Jun 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,70523.62305148797,41757.99086757992,28735.632183908045,6752873.563218393
Sun Jul 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,69005.35821130533,40239.72602739728,28735.632183908045,6724137.931034485
Wed Aug 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,70169.74177294916,41404.10958904111,28735.632183908045,6695402.298850576
Sat Sep 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,69992.80113367974,41227.168949771694,28735.632183908045,6666666.666666668
Mon Oct 01 2029 02:00:00 GMT+0200 (GMT+02:00),30,68491.65958116832,39726.02739726027,28735.632183908045,6637931.034482759
Thu Nov 01 2029 01:00:00 GMT+0100 (GMT+01:00),30,69638.91985514092,40873.28767123288,28735.632183908045,6609195.402298851
Sat Dec 01 2029 01:00:00 GMT+0100 (GMT+01:00),30,68149.19382774366,39383.561643835616,28735.632183908045,6580459.770114942
Tue Jan 01 2030 01:00:00 GMT+0100 (GMT+01:00),30,69285.0385766021,40519.406392694065,28735.632183908045,6551724.137931034
Fri Feb 01 2030 01:00:00 GMT+0100 (GMT+01:00),30,69108.0979373327,40342.46575342465,28735.632183908045,6522988.5057471255
Fri Mar 01 2030 01:00:00 GMT+0100 (GMT+01:00),30,65044.17099669343,36278.53881278538,28735.632183908045,6494252.873563217
Mon Apr 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,68754.21665879387,39988.58447488583,28735.632183908045,6465517.2413793085
Wed May 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,67293.029444182,38527.39726027396,28735.632183908045,6436781.6091954
Sat Jun 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,68400.33538025506,39634.703196347014,28735.632183908045,6408045.977011492
Mon Jul 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,66950.56369075734,38184.931506849294,28735.632183908045,6379310.344827583
Thu Aug 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,68046.45410171624,39280.8219178082,28735.632183908045,6350574.712643675
Sun Sep 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,67869.51346244683,39103.881278538785,28735.632183908045,6321839.080459766
Tue Oct 01 2030 02:00:00 GMT+0200 (GMT+02:00),30,66436.86506062034,37671.2328767123,28735.632183908045,6293103.448275858
Fri Nov 01 2030 01:00:00 GMT+0100 (GMT+01:00),30,67515.63218390802,38749.99999999997,28735.632183908045,6264367.816091949
Sun Dec 01 2030 01:00:00 GMT+0100 (GMT+01:00),30,66094.39930719568,37328.76712328764,28735.632183908045,6235632.183908041
Wed Jan 01 2031 01:00:00 GMT+0100 (GMT+01:00),30,67161.75090536919,38396.11872146115,28735.632183908045,6206896.551724132
Sat Feb 01 2031 01:00:00 GMT+0100 (GMT+01:00),30,66984.81026609978,38219.178082191735,28735.632183908045,6178160.919540224
Sat Mar 01 2031 01:00:00 GMT+0100 (GMT+01:00),30,63126.362777515315,34360.730593607266,28735.632183908045,6149425.287356315
Tue Apr 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,66630.92898756097,37865.29680365293,28735.632183908045,6120689.655172407
Thu May 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,65238.23492363402,36472.60273972598,28735.632183908045,6091954.022988498
Sun Jun 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,66277.04770902215,37511.415525114106,28735.632183908045,6063218.39080459
Tue Jul 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,64895.76917020936,36130.13698630132,28735.632183908045,6034482.758620681
Fri Aug 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,65923.16643048334,37157.53424657529,28735.632183908045,6005747.126436773
Mon Sep 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,65746.22579121392,36980.59360730588,28735.632183908045,5977011.494252864
Wed Oct 01 2031 02:00:00 GMT+0200 (GMT+02:00),30,64382.07054007237,35616.438356164326,28735.632183908045,5948275.862068956
Sat Nov 01 2031 01:00:00 GMT+0100 (GMT+01:00),30,65392.3445126751,36626.712328767055,28735.632183908045,5919540.229885047
Mon Dec 01 2031 01:00:00 GMT+0100 (GMT+01:00),30,64039.6047866477,35273.97260273966,28735.632183908045,5890804.597701139
Thu Jan 01 2032 01:00:00 GMT+0100 (GMT+01:00),30,65038.46323413629,36272.83105022824,28735.632183908045,5862068.96551723
Sun Feb 01 2032 01:00:00 GMT+0100 (GMT+01:00),30,64762.899943470824,35997.267759562776,28735.632183908045,5833333.333333322
Mon Mar 01 2032 01:00:00 GMT+0100 (GMT+01:00),30,62275.422712141124,33509.79052823308,28735.632183908045,5804597.701149413
Thu Apr 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,64409.98555367117,35644.35336976313,28735.632183908045,5775862.068965505
Sat May 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,63089.402675711244,34323.7704918032,28735.632183908045,5747126.436781596
Tue Jun 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,64057.07116387153,35291.43897996349,28735.632183908045,5718390.804597688
Thu Jul 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,62747.87262106643,33982.24043715838,28735.632183908045,5689655.172413779
Sun Aug 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,63704.15677407189,34938.52459016385,28735.632183908045,5660919.540229871
Wed Sep 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,63527.699579172084,34762.067395264035,28735.632183908045,5632183.908045962
Fri Oct 01 2032 02:00:00 GMT+0200 (GMT+02:00),30,62235.577539099206,33469.945355191165,28735.632183908045,5603448.275862054
Mon Nov 01 2032 01:00:00 GMT+0100 (GMT+01:00),30,63174.78518937243,34409.15300546439,28735.632183908045,5574712.6436781455
Wed Dec 01 2032 01:00:00 GMT+0100 (GMT+01:00),30,61894.04748445439,33128.41530054635,28735.632183908045,5545977.011494237
Sat Jan 01 2033 01:00:00 GMT+0100 (GMT+01:00),30,62821.87079957279,34056.23861566475,28735.632183908045,5517241.3793103285
Tue Feb 01 2033 01:00:00 GMT+0100 (GMT+01:00),30,62738.234923633965,33972.602739725924,28735.632183908045,5488505.74712642
Tue Mar 01 2033 01:00:00 GMT+0100 (GMT+01:00),30,59290.746339159086,30525.11415525104,28735.632183908045,5459770.114942512
Fri Apr 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,62384.35364509515,33618.72146118711,28735.632183908045,5431034.482758603
Sun May 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,61128.64588253808,32363.013698630035,28735.632183908045,5402298.850574695
Wed Jun 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,62030.472366556336,33264.84018264829,28735.632183908045,5373563.218390786
Fri Jul 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,60786.18012911341,32020.547945205366,28735.632183908045,5344827.586206878
Mon Aug 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,61676.59108801751,32910.958904109466,28735.632183908045,5316091.954022969
Thu Sep 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,61499.65044874811,32734.018264840062,28735.632183908045,5287356.321839061
Sat Oct 01 2033 02:00:00 GMT+0200 (GMT+02:00),30,60272.48149897641,31506.84931506837,28735.632183908045,5258620.689655152
Tue Nov 01 2033 01:00:00 GMT+0100 (GMT+01:00),30,61145.769170209285,32380.13698630124,28735.632183908045,5229885.057471244
Thu Dec 01 2033 01:00:00 GMT+0100 (GMT+01:00),30,59930.01574555175,31164.383561643706,28735.632183908045,5201149.425287335
Sun Jan 01 2034 01:00:00 GMT+0100 (GMT+01:00),30,60791.88789167047,32026.255707762426,28735.632183908045,5172413.793103427
Wed Feb 01 2034 01:00:00 GMT+0100 (GMT+01:00),30,60614.94725240106,31849.315068493015,28735.632183908045,5143678.160919518
Wed Mar 01 2034 01:00:00 GMT+0100 (GMT+01:00),30,57372.93811998098,28607.305936072935,28735.632183908045,5114942.52873561
Sat Apr 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,60261.06597386224,31495.433789954197,28735.632183908045,5086206.896551701
Mon May 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,59073.85136199009,30308.21917808205,28735.632183908045,5057471.264367793
Thu Jun 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,59907.18469532342,31141.55251141538,28735.632183908045,5028735.632183884
Sat Jul 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,58731.38560856543,29965.75342465739,28735.632183908045,4999999.999999976
Tue Aug 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,59553.303416784605,30787.67123287656,28735.632183908045,4971264.367816067
Fri Sep 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,59376.3627775152,30610.730593607157,28735.632183908045,4942528.735632159
Sun Oct 01 2034 02:00:00 GMT+0200 (GMT+02:00),30,58217.68697842844,29452.054794520398,28735.632183908045,4913793.10344825
Wed Nov 01 2034 01:00:00 GMT+0100 (GMT+01:00),30,59022.48149897638,30256.849315068335,28735.632183908045,4885057.471264342
Fri Dec 01 2034 01:00:00 GMT+0100 (GMT+01:00),30,57875.22122500378,29109.589041095733,28735.632183908045,4856321.839080433
Mon Jan 01 2035 01:00:00 GMT+0100 (GMT+01:00),30,58668.60022043756,29902.968036529517,28735.632183908045,4827586.206896525
Thu Feb 01 2035 01:00:00 GMT+0100 (GMT+01:00),30,58491.65958116815,29726.027397260106,28735.632183908045,4798850.574712616
Thu Mar 01 2035 01:00:00 GMT+0100 (GMT+01:00),30,55455.12990080287,26689.497716894824,28735.632183908045,4770114.942528708
Sun Apr 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,58137.77830262933,29372.146118721288,28735.632183908045,4741379.310344799
Tue May 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,57019.05684144213,28253.42465753408,28735.632183908045,4712643.678160891
Fri Jun 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,57783.89702409052,29018.26484018247,28735.632183908045,4683908.045976982
Sun Jul 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,56676.59108801746,27910.958904109415,28735.632183908045,4655172.413793074
Wed Aug 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,57430.0157455517,28664.38356164365,28735.632183908045,4626436.7816091655
Sat Sep 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,57253.07510628229,28487.442922374245,28735.632183908045,4597701.149425257
Mon Oct 01 2035 02:00:00 GMT+0200 (GMT+02:00),30,56162.89245788046,27397.260273972417,28735.632183908045,4568965.5172413485
Thu Nov 01 2035 01:00:00 GMT+0100 (GMT+01:00),30,56899.19382774347,28133.561643835426,28735.632183908045,4540229.88505744
Sat Dec 01 2035 01:00:00 GMT+0100 (GMT+01:00),30,55820.4267044558,27054.794520547755,28735.632183908045,4511494.252873532
Tue Jan 01 2036 01:00:00 GMT+0100 (GMT+01:00),30,56545.31254920465,27779.680365296605,28735.632183908045,4482758.620689623
Fri Feb 01 2036 01:00:00 GMT+0100 (GMT+01:00),30,56292.954588279434,27527.32240437139,28735.632183908045,4454022.988505715
Sat Mar 01 2036 01:00:00 GMT+0100 (GMT+01:00),30,54351.92544438144,25586.2932604734,28735.632183908045,4425287.356321806
Tue Apr 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,55940.04019847979,27174.408014571745,28735.632183908045,4396551.724137898
Thu May 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,54892.681364235716,26127.049180327667,28735.632183908045,4367816.091953989
Sun Jun 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,55587.12580868015,26821.493624772105,28735.632183908045,4339080.459770081
Tue Jul 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,54551.1513095909,25785.519125682855,28735.632183908045,4310344.827586172
Fri Aug 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,55234.2114188805,26468.579234972458,28735.632183908045,4281609.195402264
Mon Sep 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,55057.75422398068,26292.122040072638,28735.632183908045,4252873.563218355
Wed Oct 01 2036 02:00:00 GMT+0200 (GMT+02:00),30,54038.85622762368,25273.224043715636,28735.632183908045,4224137.931034447
Sat Nov 01 2036 01:00:00 GMT+0100 (GMT+01:00),30,54704.839834181046,25939.207650273,28735.632183908045,4195402.298850538
Mon Dec 01 2036 01:00:00 GMT+0100 (GMT+01:00),30,53697.326172978865,24931.69398907082,28735.632183908045,4166666.66666663
